specimen,PD_A,PD_B,CS_A,CS_B
158_49_rec_align_merged.mrk.json,0.0174311341099241,0.01776047212346047,204.06951594477755,204.05997271745974
158_4_rec_align_merged.mrk.json,0.027802758645411152,0.028101581097969175,185.60956898054113,185.61441213541372
158_51_rec_align_merged.mrk.json,0.01877632435185794,0.019210765274894227,193.79031534950002,193.80969899618614
158_52_rec_align_merged.mrk.json,0.01958522559675222,0.019919437535835593,200.04596591493626,200.0688475413543
158_53_rec_align_merged.mrk.json,0.01833006099368434,0.018803297421646836,201.6993678176089,201.72663177016517
158_54_rec_align_merged.mrk.json,0.01849591588938845,0.018941899117868345,197.55333993424142,197.5564443334995
158_55_rec_align_merged.mrk.json,0.0196951337086211,0.020076430594509344,202.04171443733043,202.06575671022247
158_56_rec_align_merged.mrk.json,0.025391128614989156,0.025706393260361376,192.98178316794537,192.9844455005826
158_57_rec_align_merged.mrk.json,0.02369225004980559,0.023865608851709665,194.53711313799622,194.56049370762446
158_58_rec_align_merged.mrk.json,0.02166581112188459,0.022056158136811332,194.4343116125747,194.43292512930051
158_5__rec_align_merged.mrk.json,0.02178050001601192,0.022149465600338192,192.82383368204415,192.7992433108055
158_6__rec_align_merged.mrk.json,0.019109114014988136,0.01948866263403098,192.4226270005312,192.44195625998705
158_7__rec_align_merged.mrk.json,0.018133698302312276,0.018669024777291914,195.44842617068707,195.43558436536014
159-20__rec_align_merged.mrk.json,0.01700695238343873,0.017493198068103503,197.6037539922144,197.63288807523224
159-21__rec_align_merged.mrk.json,0.020120744381329894,0.02057162454919388,197.6911377656467,197.68879404212493
159-22__rec_align_merged.mrk.json,0.020070268345104503,0.020421215931195356,200.10257027266454,200.1368384031932
159-23__rec_align_merged.mrk.json,0.021241356757509166,0.02163682109351406,199.30470353824538,199.30261805455225
159-24__rec_align_merged.mrk.json,0.016728838872115747,0.017097133307852633,193.15961277378048,193.1483021553433
159-25__rec_align_merged.mrk.json,0.021561299842669794,0.021885134690793534,196.65438452129345,196.67820601290813
159-26__rec_align_merged.mrk.json,0.019312056280588095,0.01966552126991445,196.3850325331869,196.37466077611828
159-27__rec_align_merged.mrk.json,0.018498448811518662,0.018944800330823103,193.76227268747996,193.77693251173804
159-28__rec_align_merged.mrk.json,0.019991455573292686,0.020416644381521656,194.52506051438507,194.53291711350295
159-29__rec_align_merged.mrk.json,0.018947935511864127,0.01931470423363772,198.64800250767672,198.62479935794295
159-30__rec_align_merged.mrk.json,0.018007049405232768,0.01849498546063108,195.68561375831243,195.69206927969122
159-31__rec_align_merged.mrk.json,0.017460920244140265,0.01784209892060308,204.96320111235917,204.98714250775348
159-32__rec_align_merged.mrk.json,0.019520787845304425,0.019812666207814033,204.19341465784743,204.1866661665243
159-33__rec_align_merged.mrk.json,0.01828286714384945,0.01879890394093638,197.5390740329256,197.53676969464834
159-34__rec_align_merged.mrk.json,0.015623038369992065,0.016150334519612543,197.73230915585225,197.7511704096942
159-35__rec_align_merged.mrk.json,0.02376901793725666,0.024055535946264372,190.33636777251414,190.35360534207447
159-36__rec_align_merged.mrk.json,0.016885133453875375,0.017282775890842452,198.65775409870483,198.63990302613152
159-37__rec_align_merged.mrk.json,0.020305055164196117,0.02074910475729994,194.67502975742718,194.6819027967202
159-38__rec_align_merged.mrk.json,0.017534698828413086,0.018000228955843776,195.48215303940543,195.48440144864665
159-5__rec_align_merged.mrk.json,0.01512867795555838,0.015755604846252512,196.24099852885823,196.2555416127245
159-6__rec_align_merged.mrk.json,0.01996382447522854,0.02027388037566371,204.38393807631337,204.3828636157251
159_10__rec_align_merged.mrk.json,0.02214098040780774,0.022448038416434647,189.5354755942014,189.53090445186942
159_11__rec_align_merged.mrk.json,0.017796801550140767,0.018180075995374897,197.93073936695586,197.9481308716261
159_12__rec_align_merged.mrk.json,0.026952191265678202,0.027309229999914225,191.814447179925,191.8048313548747
159_13__rec_align_merged.mrk.json,0.017184199316537696,0.01761014818139092,201.88790278150157,201.86723408051293
159_14__rec_align_merged.mrk.json,0.018045214317245102,0.018424029449981075,199.27620753366543,199.28198657155488
159_15__rec_align_merged.mrk.json,0.02345474718072739,0.023696390614531982,194.88826481596283,194.89230287435618
159_16__rec_align_merged.mrk.json,0.024945101929913678,0.025167715388251223,200.9372412200535,200.95061252728246
159_17__rec_align_merged.mrk.json,0.016836404193419596,0.017325466833038282,201.45588285193747,201.48989108058407
159_18__rec_align_merged.mrk.json,0.01613483517570622,0.016649641797981087,200.91002902133815,200.91007349319548
159_19__rec_align_merged.mrk.json,0.014614541268486993,0.015157718119288099,203.59325519799012,203.56898413890264
159_1_rec_align_merged.mrk.json,0.021244787796514734,0.02145467475832615,199.01760745594532,199.0226953993172
159_2_rec_align_merged.mrk.json,0.016122922104851948,0.016617325562443604,197.6562503062182,197.6937373036641
159_3_rec_align_merged.mrk.json,0.018442321343751195,0.018949981268447106,198.42363147758303,198.41250804328266
